-C
-t
-f
{144. Fantasy/Renaldo Paradiso}
b
c
0 a
1a
#2   c
xa
b
2 df
#3 a
x d
#2 a
x  f
2 cd
#3 a
x c
1cda
b
#3h  f
x  h
x  f
x   h
#2  f
xh
1fc e
2cef c
#3 c
x e
b
#2df c
x d
x ab
x c c
2cdda
#3a
xc
1ddf c
b

b
#2  bcd
xc
1a d
3 f ec
#4 e
x f
#3 e
x c
#2 e
x  d
b
1aaccca
#4   c
x  a
x  c
x  d
#4 a
x b
x d
x a
2 bd a
#3 a
x b
#2  d
xab  a
b
1ha a d
#2   fha
xh
2.f d  c
3d
2c  b
#3a
xc
b
#3d bc a
x  a
x  b
x  d
#3 a c
x  d
x a
x c
2cdf
#3a
xc
#2d
x a
b

b
#2 cd
xc
2cda
#3a
xc
#3 ab  a
x  a
x  b
x  d
3aa
#4  b
x  a
#4  b
x  d
x a
x c
b
#2cda c
xa
#3cd a
xa
xc
xd
1fc ca
1fd e c
b
#2 d  cd
x c
#3aa
x d
x c
x a
#3cc  ec
x  f
x  e
x  c
3 cee
#4  f
x  e
#4  f
x  e
x  c
x  e
b
1 efec
#2 e  c
x  d
#3a bc
x  a
x  b
xc d
#3da
xc d
xda
x c c
b

b
#2cd a
x  d
1d f c
3    d
#4a
xc
3d
#4c
xd
#3c d
xa
#4c
xa
x e
x c
b
#4 e  c
x c
x e
x f
#4c
x f
x e
x c
#4 a  c
x c
x d
x c
#4 a
x  d
x  b
x  a
1 abc
#2a b
x   c
b
#2h a g
x a
x  ffh
xh
1i  hhf
#2f  ef
x d
b

b
#3hd f d
x  h
x  f
x  d
2 a a
#3 cd a
x  b
#3 da c
xa
xc
x  bc
#3   e c
xd
xf
x     d
b
2 c ca
#3a
x  aa
#3  bc a
xc
xd
x  d  c
#3    cd
xc
xaab
x    a
3   ec
#4 e
x f
2 ef
b
#2aab  a
x   c
x  a c
x a b
2da c
#3 a
xc  a
#3ac  e
x e  c
xa c e
x  e
b

b
2 f ec
#3 e
x  d
#3a b  a
x  a
x   f
xh
#2 d e c
xfc
2ha a d
#3    c
xf    c
