-C
-t
-f
{12. Helas quel jour/Melchior Newsidler}
b
c
1a
1  d
2 fgh
#3   h
x  i
#3 f
x  g
#4  i
x f
x g
x i
b
#2ffgh
x  i
xffg
x   f
#3fggd
xd
xg
xf
#3d  d
x g
x f
x d
b
#2dfg d
x d
x fg
x    f
#2d fc
x   e
1ddff
b
#2fgi f
xh
1if f i
#2 f h f
x h
1hii  h
b

b
#2 fg  i
xf
xf
x    f
#3 ffc
xf
xe
xc
#3f
xe
#4f
xe
xc
xe
b
#3ffgh
x  f
x  g
x  i
#3 f
x  i
#4 f
x  g
x  i
x f
2 df
#3  d
x  f
1iill
b
2hiif
#3f
xh
1iil  i
1dfg d
#2f dd
x d
b
#2 ffc
xc
xdff
x   e
2ddff
#3a
xd
#3b da
x d
xa
xb
b

b
#3aadc
x  c
#4  d
x  c
x  a
x  c
2 bd
#3  c
x  a
#3aadc
x  c
#4  d
x  c
x  a
x  c
#3 bd
x d
2a
b
2 dff
#3a
xc
1dfg d
2cdda
#3a
xc
#2dabc
xc
b
#2abb d
x   a
xaabc
x  de
#2 dff d
x bd
xddf
x   f
b
#3dfg
x h
x f
x h
#3d f
x f
xc
xd
#3c d
x f
x e
x c
#3cff
x e
#4 f
x e
x c
x e
b

b
2effc
#3 a c
x  d
#3  c
x  a
2aacc
#2acd
xffh
xfhi
xf  a
b
#2hhi  h
x     h
#3fhia
x i
xf
xh
#2ill  i
x  ll
xill
xh if
b
#2fggh
xeffc
xf dd
x d
#2effc
x  f
x ff
x d
b
#2ab
x df
xab  a
x ab
#2c da
xf   d
xl ik h
xi    f
b
#2h  f d
xf
xdfg d
x h
#2dfg
x d
xabb d
x a
b

b
#2abd
x df
x fgh
x fff
#2fggd
x f
#3ddgf
x  f
#4  g
x  f
x  d
x  f
b
#2 fg d
x d
x bdd
x   c
#2 dfa
x  d d
xh i  h
x  fg
b
#2if h f
xh
xffg
x i
2cdda
#3a
xc
#2ddff
x  g
b
#2 df
x   e
xda c
xb  a
#2ab  d
xd
xi  f i
xh if
b
#2ffg
xddff
xbbd
xa bc
2 bdd
#3 d
x b
#3 dda
x a
x c
x d
b

b
#3aa c
x  d
x  c
x  a
#3  d
x  c
#4  d
x  c
x  a
x  c
#3acd a
x d
xa
xc
#3d
xa
xc
xd
b
#2ffgh
xeffc
xf dd
x d
#2effc
x  f
x ff
x d
b
#2ab
x df
xab  a
x ab
#2c da
xf   d
xl ik h
xi    f
b
#2h  f d
xf
xdfg d
x h
#2dfg
x d
xabb d
x a
b
#2abd
x df
x fgh
x fff
#2fggd
x f
#3ddgf
x  f
#4  g
x  f
x  d
x  f
b

b
#2 fg d
x df
x bdd
x   c
#2 dfa
x  d d
xh i  h
x  fg
b
#2if h f
xh
xffg
x i
2cdda
#3a
xc
#2ddff
x  g
b
#2 df
x   e
xda c
xb  a
#2ab  d
xd
xi  f i
xh if
b
#2ffg
xddff
xbbd
xa bc
2 bdd
#3 dd
x b
#3 dda
x a
x c
x d
b

b
#3aa c
x  d
x  c
x  a
#3  d
x  c
#4  d
x  c
x  a
x  c
Yacd a
b
b

e
