-C
-t
-f
{82. Quadro pavane/John Johnson}
b
c
#2  d
x a
b
1 cd a
#2   c
xc
#2a   a
x d
x cd
x ac
b
#3  d a
x a
x c
x d
#2a
xcd
#2ac
x df
#3  d
x d
2 c
b
1 daa
1  de
#3 ab
x c
2 d
#2 d ca
x c
b
2 dda
#3 c
x a
#2  de
xd bc
#2c da
xa d e
x da c
x  c
b

b
2 cd a
#3  d
x a
#3 c
x d
xa
xc
3a   a
#4 d
x c
#4 d
x c
x d
x c
#4 d
x c
x a
x  d
#4 a
x c
x d
x a
b
#3 c  a
x a
x c
x d
#2 c
x a   e
#2 d   c
x c
#3 a b
x c
x  d
x a
b
1 acc a
#2   c
x c
#2 a   a
x  d
x  cc
x  ab
b

b
2 acc a
#4   c
x  a
x  c
x  d
2 a
#4 c
x a
x c
x d
2a    a
#4 d
x c
x a
x c
#3 d
x a
#4 c
x a
x c
x d
b
#2 cd
x    a
xf
xd
2c  a
#3a
xc
#3a  c
x d
x c
x a
b
#3  d a
x  c
x  d
x a
#3 c
x a
x c
x d
#3a   a
x d
x c
x a
#4 d
x c
x d
x c
#4 d
x c
x a
x c
b

b
2 dda
#3 c
x a
#2  de
x ab
2  de
#3  b
x  a
#3   ce
x   a
2   c
b
2   af
#3 a
x c
#3 d
xa
xc
xd
2c  a
#4d
xc
xa
xc
#3d
xc
xa
x d
b
#3 cd a
xa
xc
xd
#3f
x  c
x  d
x a
#3  d a
x a
x c
x d
#3a
x    c
x    e
x   a
b

b
2 acc a
#3d
xc
#3a   e
x c
x d
xa
2c  a
#3a  c
x d
#3 cd a
x d
2 acc a
b
1  dca
1   ce
#3  aa
x  c
x  d
x   e
#3   c
x  d
2  c
b
2  dca
#3  a
x  c
#4  d
x  c
x  d
x  c
#4  d
x  c
x  a
x  c
1  dca
#2f
xd
b

b
#4 c  a
x a
x c
x d
2 c
#4 f  a
x e
x f
x h
2 f
#4 c  a
x a
x c
x d
2 c
#4  d a
x  c
x  d
x  f
2  d
b
#4f   a
xe
xf
xh
2f
#4c   a
xa
xc
xd
2c
#4 f  a
x e
x f
x h
2 f
#4 c  a
x a
x c
x d
2 c
b
#4c  a
xa
xc
xd
2c
#4f  a
xe
xf
xh
2f
#4c  a
xa
xc
xd
2c
#4 d a
x c
x d
x f
2 d
b

b
#4l  a
xk
xl
xn
2l
#4h  a
xf
xh
xi
2h
#4f  a
xe
xf
xh
2f
#4c  a
xa
xc
xd
2c
b
1acd a
#2   c
xc
2acd a
#3d
xc
#3a
xc
x d
xa
b
2acd a
#4  d
x a
x c
x d
#2a
xa c
2a  e
#3 e
x c
#3 e
x a
#4 c
x a
x c
x e
b

b
#3     a
xaac
x   c
x d
#3     a
x c
x   c
x d
#3     a
x a
x   c
x c
#3     a
x  d
x   c
x a
b
#3     a
x  c
x   c
x  c
#3    e
x  d
x   c
x  d
#3    f
x  d
x   e
x  d
#3     a
x  d
2  c
b
2  dca
#4  d
x a
x c
x d
2a
#4c
xa
xc
xe
2f   a
#3d
xc
#3a
x d
#4 f
x d
x c
x a
b

b
#3 c  a
x a
#4 c
x a
x c
x d
#2ac
xcd
#3da
x c
2cd
#4ad
x c
x d
x c
#4 d
x c
x a
x c
b
2 dda
#3 c
x a
#2  d
xf de
#3da c
x c
2cdda
#4ac  a
x a
x c
x d
#4a
xc
xd
xa
b

b
3c  a
#4 a
x c
#4 d
xa
xc
xd
#4f
xd
xf
xd
#4f
xd
xc
xa
#3c  a
xh
xf
xd
3c
#4a
xc
#4d
xc
xa
x d
b
#4 c  a
x a
x c
x d
#3a
x  c
#4  d
x  c
x  d
x a
#4 c
x a
x c
x d
3 c  a
#4  d
x  c
#4  d
x a
x c
x d
3a
#4 d
x c
#4 a
x  d
x  c
x  a
b

b
3  c  a
#4  f
x  d
#4  f
x  d
x  c
x  a
3   c
#4 d
x c
#4 d
x c
x a
x  d
3  c  a
#4 f
x d
#4 f
x d
x c
x a
3 c  a
#4d
xc
#4d
xc
xa
x d
b
#4 c  a
x a
x c
x d
#3a
x    c
#3    e
x   a
x   c
x  a
#4  c  a
x  a
x  c
x  d
#3 a
x     c
#3     e
x    a
x  d c
x  c
b

b
3  d a
#4  d
x a
#4 c
x d
3a   e
3c  a
#4a
xc
#4a  c
x d
x c
x a
3 c  a
#4c
xe
#3f
xe f
#3c d
xa c
xa  e
x e
b
0aa c a
1aa c a
1aac  a
b
#3   c a
x  a
x  b
x  d
#3 a
x     c
x     d
x    a
2 aa c
